,basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
40,,Non-removable Li-Po 11560 mAh battery (42.5 Wh),,1.2 MP,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM, 128GB 1GB RAM","iOS 6, upgradable to iOS 10.3",,"5 MP, AF","2012, October. Released 2012, November","9.7 inches, 291.4 cm, (~65.1% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad 4 Wi-Fi
41,,Non-removable Li-Po 4490 mAh battery (16.7 Wh),,1.2 MP,"16GB 512MB RAM, 32GB 512MB RAM, 64GB 512MB RAM","iOS 6, upgradable to iOS 9.3.5",,"5 MP, AF","2012, October. Released 2012, November","7.9 inches, 193.3 cm, (~71.7% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~162 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad mini Wi-Fi + Cellular
42,,Non-removable Li-Po 4490 mAh battery (16.7 Wh),,1.2 MP,"16GB 512MB RAM, 32GB 512MB RAM, 64GB 512MB RAM","iOS 6, upgradable to iOS 9.3.5",,"5 MP, AF","2012, October. Released 2012, November","7.9 inches, 193.3 cm, (~71.7% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~162 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad mini Wi-Fi
43,,Non-removable Li-Po 1510 mAh battery (5.73 Wh),,1.2 MP,"8GB 1GB RAM, 16GB 1GB RAM, 32GB 1GB RAM","iOS 7, upgradable to iOS 10.3.3",,"8 MP, f/2.4, 33mm (standard), 1/3.2"", 1.4µm, AF","2013, September","4.0 inches, 44.1 cm, (~59.9% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Apple iPhone 5c
44,$ 84.69 / £ 88.00 / € 114.90,Non-removable Li-Po 1560 mAh battery (5.92 Wh),"16GB,32GB,64GB","1.2 MP, f/2.4, 31mm (standard)","16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","iOS 7, upgradable to iOS 12.4","$ 99.00,$ 110.00,$ 84.69,$ 126.99,£ 149.00,€ 129.99,$ 169.90,£ 116.90,€ 149.90","8 MP, f/2.2, 29mm (standard), 1/3"", 1.5µm, AF","2013, September","4.0 inches, 44.1 cm, (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Apple iPhone 5s
45,,Non-removable Li-Po 6470 mAh battery (24.3 Wh),,1.2 MP,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM, 128GB 1GB RAM","iOS 7, upgradable to iPadOS 13.1.2",,"5 MP, f/2.4, 33mm (standard), AF","2013, October. Released 2013, November","7.9 inches, 193.3 cm, (~71.7% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~324 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad mini 2
46,,Non-removable Li-Po 8600 mAh battery (32.4 Wh),,1.2 MP,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM, 128GB 1GB RAM","iOS 7, upgradable to iPadOS 13.1.2",,"5 MP, f/2.4, 33mm (standard), AF","2013, October","9.7 inches, 291.4 cm, (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad Air
47,,Non-removable Li-Ion battery,,No,4/8/16GB,"iOS, upgradable to iOS 3.1.3",,2 MP,"2007, January. Released 2007, June","3.5 inches, 36.5 cm, (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Apple iPhone
48,,Non-removable Li-Ion battery,,No,"8GB 128MB RAM, 16GB 128MB RAM","iOS, upgradable to iOS 4.2.1",,2 MP,"2008, June. Released 2008, July","3.5 inches, 36.5 cm, (~50.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Apple iPhone 3G
49,,Non-removable Li-Ion battery,,No,"8GB 256MB RAM, 16GB 256MB RAM, 32GB 256MB RAM","iOS 3, upgradable to iOS 6.1.6",,"3.15 MP, f/2.8, AF","2009, June. Released 2009, June","3.5 inches, 36.5 cm, (~50.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Apple iPhone 3GS
50,,Non-removable Li-Po 6600 mAh battery (24.8 Wh),,,"16GB 256MB RAM, 32GB 256MB RAM, 64GB 256MB RAM","iOS 4, upgradable to iOS 5.1.1",,No,"2010, January. Released 2010, March","9.7 inches, 291.4 cm, (~63.3% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,Apple iPad Wi-Fi
51,,Non-removable Li-Po 6600 mAh battery (24.8 Wh),,,"16GB 256MB RAM, 32GB 256MB RAM, 64GB 256MB RAM","iOS 4, upgradable to iOS 5.1.1",,No,"2010, January. Released 2010, March","9.7 inches, 291.4 cm, (~63.3% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, compass",Apple iPad Wi-Fi + 3G
52,,Non-removable Li-Po 1420 mAh battery,,Videocalling over Wi-Fi only,"16GB 512MB RAM, 32GB 512MB RAM","iOS 4, upgradable to iOS 7.1.1",,"5 MP, AF","2011, January. Released 2011, February","3.5 inches, 36.5 cm, (~54.0% screen-to-body ratio)","640 x 960 pixels, 3:2 ratio (~330 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Apple iPhone 4 CDMA
53,,Non-removable Li-Po 1420 mAh battery,,"VGA, videocalling over Wi-Fi only","8GB 512MB RAM, 16GB 512MB RAM, 32GB 512MB RAM","iOS 4, upgradable to iOS 7.1.2",,"5 MP, f/2.8, 1/3.2"", 1.75µm, AF","2010, June. Released 2010, June","3.5 inches, 36.5 cm, (~54.0% screen-to-body ratio)","640 x 960 pixels, 3:2 ratio (~330 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Apple iPhone 4
54,,Non-removable Li-Po 6930 mAh battery (25 Wh),,VGA,"16GB 512MB RAM, 32GB 512MB RAM, 64GB 512MB RAM","iOS 4, upgradable to iOS 9.2.1",,0.7 MP,"2011, March. Released 2011, March","9.7 inches, 291.4 cm, (~65.1% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad 2 CDMA
55,,Non-removable Li-Po 6930 mAh battery (25 Wh),,VGA,"16GB 512MB RAM, 32GB 512MB RAM, 64GB 512MB RAM","iOS 4, upgradable to iOS 9.3.5",,0.7 MP,"2011, March. Released 2011, March","9.7 inches, 291.4 cm, (~65.1% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad 2 Wi-Fi
56,,Non-removable Li-Po 6930 mAh battery (25 Wh),,VGA,"16GB 512MB RAM, 32GB 512MB RAM, 64GB 512MB RAM","iOS 4, upgradable to iOS 9.3.5",,0.7 MP,"2011, March. Released 2011, March","9.7 inches, 291.4 cm, (~65.1% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad 2 Wi-Fi + 3G
57,,Non-removable Li-Po 1432 mAh battery (5.3 Wh),,"VGA, videocalling over Wi-Fi and 3G","8GB 512MB RAM, 16GB 512MB RAM, 32GB 512MB RAM, 64GB 512MB RAM","iOS 5, upgradable to iOS 9.3.5",,"8 MP, f/2.4, 35mm (standard), 1/3.2"", 1.4µm, AF","2011, October","3.5 inches, 36.5 cm, (~54.0% screen-to-body ratio)","640 x 960 pixels, 3:2 ratio (~330 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Apple iPhone 4s
58,,Non-removable Li-Po 11560 mAh battery (42.5 Wh),,"VGA, videocalling over Wi-Fi only","16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","iOS 5.1, upgradable to iOS 9.3.5",,"5 MP, AF","2012, March. Released 2012, March 16th","9.7 inches, 291.4 cm, (~65.1% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad 3 Wi-Fi
59,,Non-removable Li-Po 11560 mAh battery (42.5 Wh),,"VGA, videocalling over Wi-Fi only","16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","iOS 5.1, upgradable to iOS 9.3.5",,"5 MP, AF","2012, March. Released 2012, March 16th","9.7 inches, 291.4 cm, (~65.1% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad 3 Wi-Fi + Cellular
60,,Non-removable Li-Po 1440 mAh battery (5.45 Wh),,"1.2 MP, f/2.4, 35mm (standard)","16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","iOS 6, upgradable to iOS 10.3.3",,"8 MP, f/2.4, 33mm (standard), 1/3.2"", 1.4µm, AF","2012, September","4.0 inches, 44.1 cm, (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Apple iPhone 5
61,,Non-removable Li-Po 11560 mAh battery (42.5 Wh),,1.2 MP,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM, 128GB 1GB RAM","iOS 6, upgradable to iOS 10.3",,"5 MP, AF","2012, October. Released 2012, November","9.7 inches, 291.4 cm, (~65.1% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Apple iPad 4 Wi-Fi + Cellular
62,"$ 119.27 / £ 118.99 / € 129.00 / ₹ 21,999",Non-removable Li-Po 1810 mAh battery (6.9 Wh),"16GB,32GB,64GB","1.2 MP, f/2.2, 31mm (standard)","16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM, 128GB 1GB RAM","iOS 8, upgradable to iOS 12.4","$ 150.29,$ 119.27,£ 118.99,$ 124.99,$ 156.16,£ 209.99,$ 234.90,$ 146.23,£ 128.00","8 MP, f/2.2, 29mm (standard), 1/3"", 1.5µm, PDAF","2014, September","4.7 inches, 60.9 cm, (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Apple iPhone 6
63,$ 139.02 / £ 132.00 / € 178.90,Non-removable Li-Po 2915 mAh battery (11.1 Wh),"16GB,64GB,128GB","1.2 MP, f/2.2, 31mm (standard)","16GB 1GB RAM, 64GB 1GB RAM, 128GB 1GB RAM","iOS 8, upgradable to iOS 12.4","$ 203.99,$ 139.02,£ 146.00,$ 240.99,£ 132.00,£ 240.99,£ 209.99,€ 266.51","8 MP, f/2.2, 29mm (standard), 1/3"", 1.5µm, PDAF, OIS","2014, September","5.5 inches, 83.4 cm, (~67.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Apple iPhone 6 Plus
64,,Non-removable Li-Po 6470 mAh battery (24.3 Wh),,1.2 MP,"16GB 1GB RAM, 64GB 1GB RAM, 128GB 1GB RAM","iOS 8.1, upgradable to iPadOS 13.1.2",,"5 MP, f/2.4, 32mm (standard), AF","2014, October","7.9 inches, 193.3 cm, (~71.7% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~324 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass",Apple iPad mini 3
65,,Non-removable Li-Po 7340 mAh battery (27.62 Wh),,"1.2 MP, f/2.2, 31mm (standard)","16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM, 128GB 2GB RAM","iOS 8.1, upgradable to iPadOS 13.1.2",,"8 MP, f/2.4, 31mm (standard), 1.12µm, AF","2014, October","9.7 inches, 291.4 cm, (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad Air 2
66,,Non-removable Li-Ion 205 mAh battery (0.78 Wh),,,8GB 512MB RAM,"watchOS 1.0, upgradable to 4.3.2",,No,"2014, September","1.5 inches, 7.1 cm, (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Sport 38mm (1st gen)
67,,Non-removable Li-Ion 250 mAh battery (0.94 Wh),,,8GB 512MB RAM,"watchOS 1.0, upgradable to 4.3.2",,No,"2014, September","1.65 inches, 8.6 cm, (~57.2% screen-to-body ratio)",390 x 312 pixels (~302 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Sport 42mm (1st gen)
68,,Non-removable Li-Ion 205 mAh battery (0.78 Wh),,,8GB 512MB RAM,"watchOS 1.0, upgradable to 4.3.2",,No,"2014, September","1.5 inches, 7.1 cm, (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch 38mm (1st gen)
69,,Non-removable Li-Ion 250 mAh battery (0.94 Wh),,,8GB 512MB RAM,"watchOS 1.0, upgradable to 4.3.2",,No,"2014, September","1.65 inches, 8.6 cm, (~56.8% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch 42mm (1st gen)
70,,Non-removable Li-Ion 205 mAh battery (0.78 Wh),,,8GB 512MB RAM,"watchOS 1.0, upgradable to 4.3.2",,No,"2014, September","1.5 inches, 7.1 cm, (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Edition 38mm (1st gen)
71,,Non-removable Li-Ion 250 mAh battery (0.94 Wh),,,8GB 512MB RAM,"watchOS 1.0, upgradable to 4.3.2",,No,"2014, September","1.65 inches, 8.6 cm, (~56.8% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Edition 42mm (1st gen)
72,,Non-removable Li-Ion 5124 mAh battery (19.1 Wh),,"1.2 MP, f/2.2, 31mm (standard)","16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM, 128GB 2GB RAM","iOS 9, upgradable to iPadOS 13.1.2",,"8 MP, f/2.4, 32mm (standard), 1.12µm, AF","2015, September","7.9 inches, 193.3 cm, (~70.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~324 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad mini 4 (2015)
73,,"Non-removable Li-Ion 10,307 mAh battery (38.8 Wh)",,1.2 MP,"32GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM","iOS 9, upgradable to iPadOS 13.1.2",,"8 MP, f/2.4, 31mm (standard), 1.12µm, AF","2015, September","12.9 inches, 519.2 cm, (~77.0% screen-to-body ratio)","2048 x 2732 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad Pro 12.9 (2015)
74,,Non-removable Li-Po 9240 mAh battery (34.2 Wh),,2 MP,"32GB 3GB RAM, 64GB 3GB RAM","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)",,"8 MP, f/2.4","2015, October","10.2 inches, 313.8 cm, (~72.4% screen-to-body ratio)",2560 x 1800 pixels (~308 ppi density),"LTPS IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Google Pixel C
75,$ 109.95,Non-removable Li-Ion 2770 mAh battery,"32GB 4GB RAM,128GB 4GB RAM","8 MP, f/2.4, 1/3.2"", 1.4µm","32GB 4GB RAM, 128GB 4GB RAM","Android 7.1 (Nougat), upgradable to Android 10","$ 109.95,$ 139.63,$ 134.98,$ 134.98","12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF, Laser AF","2016, October","5.0 inches, 68.9 cm, (~69.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel
76,"$ 114.00 / £ 165.00 / € 199.99 / ₹ 55,000",Non-removable Li-Ion 3450 mAh battery,"32GB 4GB RAM,128GB 4GB RAM","8 MP, f/2.4, 1/3.2"", 1.4µm","32GB 4GB RAM, 128GB 4GB RAM","Android 7.1 (Nougat), upgradable to Android 10","$ 114.00,$ 142.99,$ 142.20,£ 165.00,$ 139.99,$ 171.00,$ 141.95,£ 249.99","12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF, Laser AF","2016, October","5.5 inches, 83.4 cm, (~71.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel XL
77,$ 210.95 / £ 289.99 / € 309.00,Non-removable Li-Ion 3520 mAh battery,"64GB 4GB RAM,128GB 4GB RAM","8 MP, f/2.4, 25mm (wide), 1/3.2"", 1.4µm","64GB 4GB RAM, 128GB 4GB RAM","Android 8.0 (Oreo), upgradable to Android 10","$ 210.95,$ 284.00,$ 286.13,£ 289.99,$ 250.50,$ 336.00,$ 285.99,£ 319.00","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, Laser AF, OIS","2017, October","6.0 inches, 92.6 cm, (~76.4% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~538 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 2 XL
78,$ 179.95 / £ 228.99,Non-removable Li-Ion 2700 mAh battery,"64GB 4GB RAM,128GB 4GB RAM","8 MP, f/2.4, 27mm (wide), 1/3.2"", 1.4µm","64GB 4GB RAM, 128GB 4GB RAM","Android 8.0 (Oreo), upgradable to Android 10","$ 179.95,$ 216.29,$ 213.39,£ 228.99,$ 239.52,$ 340.19,£ 233.99,£ 349.99","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, Laser AF, OIS","2017, October","5.0 inches, 68.9 cm, (~67.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 2
79,"$ 319.97 / £ 439.00 / € 555.00 / ₹ 44,999",Non-removable Li-Po 2915 mAh battery,"64GB 4GB RAM,128GB 4GB RAM","8 MP, f/1.8, 28mm (wide), PDAF,
8 MP, f/2.2, 19mm (ultrawide), no AF","64GB 4GB RAM, 128GB 4GB RAM","Android 9.0 (Pie), upgradable to Android 10","$ 319.97,$ 417.99,£ 439.00,€ 555.00,$ 439.97,$ 1,169.00,£ 499.00,€ 912.77","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","2018, October","5.5 inches, 76.7 cm, (~77.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~443 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 3
80,"$ 349.99 / £ 469.00 / ₹ 29,799",Non-removable Li-Po 3430 mAh battery,"64GB 4GB RAM,128GB 4GB RAM","8 MP, f/1.8, 28mm (wide), PDAF,
8 MP, f/2.2, 19mm (ultrawide), no AF","64GB 4GB RAM, 128GB 4GB RAM","Android 9.0 (Pie), upgradable to Android 10","$ 349.99,$ 432.94,£ 469.00,₹ 29,799,£ 579.00,£ 639.00","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","2018, October","6.3 inches, 100.3 cm, (~82.8% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~523 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 3 XL
81,"$ 276.99 / £ 369.00 / € 359.36 / ₹ 29,999",Non-removable Li-Po 3000 mAh battery,64GB 4GB RAM,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm",64GB 4GB RAM,"Android 9.0 (Pie), upgradable to Android 10","$ 276.99,$ 329.95,£ 369.00,£ 399.00,€ 359.36,₹ 29,999","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","2019, May","5.6 inches, 79.6 cm, (~75.0% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 3a
82,"$ 332.85 / £ 399.00 / € 434.00 / ₹ 32,999",Non-removable Li-Po 3700 mAh battery,64GB 4GB RAM,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm",64GB 4GB RAM,"Android 9.0 (Pie), upgradable to Android 10","$ 332.85,$ 529.34,£ 399.00,£ 440.90,€ 434.00,₹ 32,999","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","2019, May","6.0 inches, 92.9 cm, (~76.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 3a XL
83,"$ 754.75 / £ 657.00 / € 749.00 / ₹ 86,990",Non-removable Li-Po 2800 mAh battery,"64GB 6GB RAM,128GB 6GB RAM","8 MP, f/2.0, 22mm (wide), 1.22µm, no AF,
TOF 3D camera","64GB 6GB RAM, 128GB 6GB RAM",Android 10,"$ 754.75,$ 919.00,£ 657.00,£ 669.00,$ 899.00,$ 1,069.00,£ 752.00,£ 769.00","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom","2019, October","5.7 inches, 80.7 cm, (~79.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~444 ppi density)","P-OLED capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Google Pixel 4
84,"$ 894.97 / £ 829.00 / € 898.99 / ₹ 109,990",Non-removable Li-Po 3700 mAh battery,"64GB 6GB RAM,128GB 6GB RAM","8 MP, f/2.0, 22mm (wide), 1.22µm, no AF,
TOF 3D camera","64GB 6GB RAM, 128GB 6GB RAM",Android 10,"$ 894.97,$ 1,139.00,£ 829.00,£ 949.00,$ 994.99,$ 1,279.00,£ 929.00,£ 975.00","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom","2019, October","6.3 inches, 98.0 cm, (~81.3% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~537 ppi density)","P-OLED capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Google Pixel 4 XL
85,,Non-removable Li-Po 7250 mAh battery,,"8 MP, f/2.0","128GB 6GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",Android 10; EMUI 10,,"13 MP, f/1.8, PDAF","2019, November","10.8 inches, 338.2 cm, (~86.5% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~280 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Huawei MatePad Pro
86,,Non-removable Li-Po 3400 mAh battery,,8 MP,"64GB 4GB RAM, 128GB 4GB RAM",Android 9.0 (Pie); EMUI 9,,"24 MP, PDAF,
16 MP, (ultrawide),
2 MP, depth sensor","2019, March","6.21 inches, 94.7 cm, (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei Enjoy 9s
87,,Non-removable Li-Po 3020 mAh battery,,"8 MP, f/2.0","32GB 3GB RAM, 64GB 3GB RAM",Android 9.0 (Pie); EMUI 9,,"13 MP, f/1.8, PDAF","2019, March","6.09 inches, 90.4 cm, (~78.7% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~283 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity",Huawei Enjoy 9e
88,$ 103.99 / £ 94.70 / € 103.00,Non-removable Li-Ion 3020 mAh battery,"32GB 2GB RAM,16GB 2GB RAM","5 MP, f/2.2","16GB 2GB RAM, 32GB 2GB RAM",Android 9.0 (Pie); EMUI 9.1,"$ 103.99,$ 112.99,£ 94.70,€ 103.00","13 MP, f/1.8, PDAF","2019, April","5.71 inches, 81.4 cm, (~78.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Y5 (2019)
89,,Non-removable Li-Po 3340 mAh battery,,"32 MP, f/2.0, 26mm (wide), 0.8µm","128GB 4GB RAM, 128GB 8GB RAM","Android 9.0 (Pie), EMUI 9.0",,"24 MP, f/1.8, (wide), PDAF,
8 MP, 13mm (ultrawide),
2 MP, f/2.4, depth sensor","2019, March","6.15 inches, 93.6 cm, (~84.2% screen-to-body ratio)",1080 x 2312 pixels (~415 ppi density),"IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei nova 4e
